author,book,genre,year
R L Stine,Give Yourself Goosebumps Book15 Please Don't Feed The Vampire,Children’s Horror,1997
R L Stine,Give Yourself Goosebumps Book16 Secret Agent Grandma,Children’s Horror,2015
R L Stine,Give Yourself Goosebumps Book17 Little Comic Shop Of Horrors,Children’s Horror,1997
R L Stine,Give Yourself Goosebumps Book18 Attack Of The Beastly Babysitter,Children’s Horror,1997
R L Stine,Give Yourself Goosebumps Book19 Escape From Camp Run For Your Life,Children’s Horror,1997
R L Stine,Give Yourself Goosebumps Book20 Toy Terror Batteries Included,Children’s Horror,1997
R L Stine,Give Yourself Goosebumps Book21 The Twisted Tale Of Tiki Island,Children’s Horror,2010
R L Stine,Give Yourself Goosebumps Book22 Return To The Carnival Of Horrors,Children’s Horror,2015
R L Stine,Give Yourself Goosebumps Special Edition03 Trapped In The Circus Of Fear,Children’s Horror,1998
Robin Sharma,Who Will Cry When You Die ?,Self-Help Book,2006
Robin Sharma,The Monk Who Sold His Ferrari,Self-Help Book,1999
Saisuthe,Kadala Mutthu,Drama,2012
Dan Brown,Digital Fortress,Science Fiction,2008
Dan Brown,The Da Vinci Code,Science Fiction,2003
