author,dob,book,isbn,pages,year,publisher,genre,language
Clive Staples Lewis,1898-11-29,The Horse And His Boy,9780006716662,240,2000,HarperCollins Pulishers,Fantasy,English
Clive Staples Lewis,1898-11-29,The Magician'S Nephew,9780007115556,208,2008,HarperCollins Pulishers,Fantasy,English
Clive Staples Lewis,1898-11-29,The Last Battle,9780006716693,240,2002,HarperCollins Pulishers,Fantasy,English
Franklin W Dixon,1862-10-04,The Tower Treasure,9781557091444,160,2022,Dover Publications,Children’s Mysteries,English
Franklin W Dixon,1862-10-04,The House on the Cliff,978-0448089027,192,2000,Penguin USA,Children’s Mysteries,English
Franklin W Dixon,1862-10-04,The Secret of the Old Mill, ‎ 978-0448089034,192,2000,Penguin USA,Children’s Mysteries,English
Franklin W Dixon,1862-10-04,The Missing Chums,9780001605329,192,2017,Penguin Random House,Children’s Mysteries,English
Franklin W Dixon,1862-10-04,Hunting for Hidden Gold,9780001605251,160,1976,Armada,Children’s Mysteries,English
Franklin W Dixon,1862-10-04,The Shore Road Mystery,9780006917335,160,1992,Armada,Children’s Mysteries,English
Franklin W Dixon,1862-10-04,The Secret of the Caves,9780006923541,192,1992,Penguin Random House,Children’s Mysteries,English
Franklin W Dixon,1862-10-04,The Mystery of Cabin Island,9780006912149,192,1992,Penguin Random House,Children’s Mysteries,English
Franklin W Dixon,1862-10-04,The Great Airport Mystery,9780006917410,160,1980,Armada,Children’s Mysteries,English
Franklin W Dixon,1862-10-04,What Happened at Midnight,9780006910497,158,1975,Armada BKS,Children’s Mysteries,English
Franklin W Dixon,1862-10-04,While the Clock Ticked,9780006911920,192,1962,Penguin Random House,Children’s Mysteries,English
Franklin W Dixon,1862-10-04,Footprints Under the Window,9780006911449,160,1992,Armada,Children’s Mysteries,English
Franklin W Dixon,1862-10-04,The Mark on the Door,9780448189130,192,1934,Grosset and Dunlap,Children’s Mysteries,English
Franklin W Dixon,1862-10-04,The Hidden Harbour Mystery,9780448189147,219,1935,Grosset and Dunlap,Children’s Mysteries,English
Franklin W Dixon,1862-10-04,The Sinister Signpost,9780006910503,160,1989,HarperCollins Pulishers,Children’s Mysteries,English
Franklin W Dixon,1862-10-04,A Figure in Hiding,9780006928324,212,1937,Grosset and Dunlap,Children’s Mysteries,English
Franklin W Dixon,1862-10-04,The Secret Warning,9780006928331,192,1938,Grosset and Dunlap,Children’s Mysteries,English
Franklin W Dixon,1862-10-04,The Twisted Claw,9780006909927,160,1974,Armada,Children’s Mysteries,English
Franklin W Dixon,1862-10-04,The Disappearing Floor,9780001605053,160,1974,Collins,Children’s Mysteries,English
Franklin W Dixon,1862-10-04,The Mystery of the Flying Express,9780448189208,160,1990,HarperTrophy,Children’s Mysteries,English
Franklin W Dixon,1862-10-04,The Clue of the Broken Blade,9780006925026,160,1977,Collins,Children’s Mysteries,English
Franklin W Dixon,1862-10-04,The Flickering Torch,9780006915720,160,1979,HarperTrophy,Children’s Mysteries,English
Franklin W Dixon,1862-10-04,The Melted Coins,9780006909101,160,1974,Collins,Children’s Mysteries,English
Franklin W Dixon,1862-10-04,The Short Wave Mystery,9780006936664,192,1968,Grosset and Dunlap,Children’s Mysteries,English
Franklin W Dixon,1862-10-04,The Secret Panel,9780006928362,160,1990,Armada,Children’s Mysteries,English
Franklin W Dixon,1862-10-04,The Phantom Freighter,9780448189260,160,1985,Armada,Children’s Mysteries,English
Franklin W Dixon,1862-10-04,The Secret of Skull Mountain,9780006926559,192,1975,Penguin Random House,Children’s Mysteries,English
Franklin W Dixon,1862-10-04,The Sign of the Crooked Arrow,9780448189284,160,1975,Collins,Children’s Mysteries,English
Franklin W Dixon,1862-10-04,The Secret of the Lost Tunnel,9780006928379,160,1990,Armada,Children’s Mysteries,English
Franklin W Dixon,1862-10-04,The Wailing Siren Mystery,9780006913979,192,1951,Penguin Random House,Children’s Mysteries,English
Franklin W Dixon,1862-10-04,The Secret of Wildcat Swamp,9780006925033,192,1952,Penguin Random House,Children’s Mysteries,English
Franklin W Dixon,1862-10-04,The Crisscross Shadow,9780006911456,192,1953,Penguin Random House,Children’s Mysteries,English
Franklin W Dixon,1862-10-04,The Yellow Feather Mystery,9780006912989,192,1954,Penguin Random House,Children’s Mysteries,English
Franklin W Dixon,1862-10-04,The Hooded Hawk Mystery,9780448189345,192,1955,Penguin Random House,Children’s Mysteries,English
Franklin W Dixon,1862-10-04,The Clue in the Embers,9780006910404,192,1956,Penguin Random House,Children’s Mysteries,English
Franklin W Dixon,1862-10-04,The Secret of Pirates Hill,9780006915669,192,1957,Penguin Random House,Children’s Mysteries,English
Franklin W Dixon,1862-10-04,The Ghost At Skeleton Rock,9780006923091,192,1958,Penguin Random House,Children’s Mysteries,English
Franklin W Dixon,1862-10-04,Mystery at Devil's Paw,9780006923084,192,1959,Penguin Random House,Children’s Mysteries,English
Franklin W Dixon,1862-10-04,The Mystery of the Chinese Junk,9780006921585,192,1959,Penguin Random House,Children’s Mysteries,English
Franklin W Dixon,1862-10-04,The Mystery of the Desert Giant,9780006909323,192,1960,Penguin Random House,Children’s Mysteries,English
Franklin W Dixon,1862-10-04,The Clue of the Screeching Owl,9780006922360,192,1962,Penguin Random House,Children’s Mysteries,English
Franklin W Dixon,1862-10-04,The Viking Symbol Mystery,9780006919810,192,1962,Penguin Random House,Children’s Mysteries,English
Franklin W Dixon,1862-10-04,The Mystery of the Aztec Warrior,9780006908128,192,1964,Penguin Random House,Children’s Mysteries,English
Franklin W Dixon,1862-10-04,The Haunted Fort,9780006908142,192,1964,Penguin Random House,Children’s Mysteries,English
Franklin W Dixon,1862-10-04,The Mystery of Spiral Bridge,9780006925279,192,1965,Penguin Random House,Children’s Mysteries,English
Franklin W Dixon,1862-10-04,The Secret Agent on Flight 101,9780006918677,192,1967,Penguin Random House,Children’s Mysteries,English
Franklin W Dixon,1862-10-04,The Mystery of the Whale Tattoo,9780006908159,192,1967,Penguin Random House,Children’s Mysteries,English
Franklin W Dixon,1862-10-04,The Artic Patrol Mystery,9780006908135,160,1977,Armada,Children’s Mysteries,English
Franklin W Dixon,1862-10-04,The Bombay Boomerang,9780006928263,192,1970,Penguin Random House,Children’s Mysteries,English
Franklin W Dixon,1862-10-04,Danger on Vampire Trail,9780006928256,192,1971,Penguin Random House,Children’s Mysteries,English
Franklin W Dixon,1862-10-04,The Masked Monkey,9780006928270,192,1972,Penguin Random House,Children’s Mysteries,English
Franklin W Dixon,1862-10-04,The Shattered Helmet,9780006928287,192,1973,Penguin Random House,Children’s Mysteries,English
Franklin W Dixon,1862-10-04,The Clue of the Hissing Serpent,9780006928294,192,1974,Penguin Random House,Children’s Mysteries,English
Franklin W Dixon,1862-10-04,The Mysterious Caravan,9780006928249,192,1975,Penguin Random House,Children’s Mysteries,English
Franklin W Dixon,1862-10-04,The Jungle Pyramid,9780006928300,192,1976,Penguin Random House,Children’s Mysteries,English
Franklin W Dixon,1862-10-04,The Firebird Rocket,9780448410456,192,1978,Penguin Random House,Children’s Mysteries,English
Franklin W Dixon,1862-10-04,The Sting of the Scorpion,9780006928393,192,1978,Penguin Random House,Children’s Mysteries,English
Ian Fleming,1908-05-28,Casino Royale,9781840238433,224,2023,HarperCollins Pulishers,Fiction,English
J K Rowling,1965-07-31,The Tales of Beedle the Bard,9781408883099,128,2008,Scholastic ,Fantasy,English
J K Rowling,1965-07-31,The Philosopher's Stone,9780439362139,223,1997,Bloomsbury Publishing,Fantasy,English
J K Rowling,1965-07-31,The Chamber of Secrets,9780439064873,352,2023,Scholastic ,Fantasy,English
J K Rowling,1965-07-31,The Prisoner of Azkaban,9780439136358,464,2018,Scholastic ,Fantasy,English
J K Rowling,1965-07-31,The Goblet of Fire,9780439139595,752,2002,Scholastic ,Fantasy,English
J K Rowling,1965-07-31,The Order of the Phoenix,9780545582971,576,2022,Scholastic ,Fantasy,English
J K Rowling,1965-07-31,The Half Blood Prince,9780439785969,672,2005,Scholastic ,Fantasy,English
J K Rowling,1965-07-31,The Deathly Hallows,9780545139700,784,2007,Scholastic ,Fantasy,English
J K Rowling,1965-07-31,The Cursed Child, ‎ 978-0751565355,352,2016,Little Brown,Fantasy,English
Paulo Coelho,1947-08-24,The Alchemist,9780008283643,197,2006,HarperCollins Pulishers,Adventure,English
R L Stine,1943-10-08,Give yourself goosebumps book01 escape from the carnival of horrors,‎ 978-0590553230,144,1995,Scholastic Incorporated,Children’s Horror,English
R L Stine,1943-10-08,"Give yourself goosebumps book02 tick tock, you're dead",978-0590566452,144,1995,Scholastic Incorporated,Children’s Horror,English
R L Stine,1943-10-08,Give yourself goosebumps book03 trapped in bat wing hall,978-0590566469,176,2015,Scholastic Paperbacks,Children’s Horror,English
R L Stine,1943-10-08,Give yourself goosebumps book04 the deadly experiments of dr eeek,‎ 978-0590673181,144,1996,Scholastic Incorporated,Children’s Horror,English
R L Stine,1943-10-08,Give yourself goosebumps book05 night in werewolf woods,978-0590673198,136,1996,Scholastic Incorporated,Children’s Horror,English
R L Stine,1943-10-08,Give yourself goosebumps book06 beware of the purple peanut butter,‎ 978-0590673204,144,1996,Scholastic Incorporated,Children’s Horror,English
R L Stine,1943-10-08,Give yourself goosebumps book07 under the magician's spell,978-0590673211,136,2015,Scholastic Paperbacks,Children’s Horror,English
R L Stine,1943-10-08,Give yourself goosebumps book08 the curse of the creeping coffin,978-0590847650,132,1996,Scholastic ,Children’s Horror,English
R L Stine,1943-10-08,Give yourself goosebumps book09 the knight in screaming armor,978-0590847667,144,1996,Scholastic Incorporated,Children’s Horror,English
R L Stine,1943-10-08,Give yourself goosebumps book10 diary of a mad mummy,978-0590847674,136,1996,Scholastic Incorporated,Children’s Horror,English
R L Stine,1943-10-08,Give yourself goosebumps book11 deep in the jungle of doom,9780590114035,144,1996,Scholastic ,Children’s Horror,English
R L Stine,1943-10-08,Give yourself goosebumps book12 welcome to the wicked wax museum,9780439010061,137,1996,Scholastic ,Children’s Horror,English
R L Stine,1943-10-08,Give yourself goosebumps book13 scream of the evil genie,9780439011464,144,1997,Scholastic ,Children’s Horror,English
R L Stine,1943-10-08,Give yourself goosebumps book14 the creepy creations of professor shock,978-0590847742,144,1997,Scholastic Incorporated,Children’s Horror,English
R L Stine,1943-10-08,Give yourself goosebumps book15 please don't feed the vampire,9781407157344,137,1997,Scholastic Incorporated,Children’s Horror,English
R L Stine,1943-10-08,Give yourself goosebumps book16 secret agent grandma,978-0590847759,147,2015,Scholastic Paperbacks,Children’s Horror,English
R L Stine,1943-10-08,Give yourself goosebumps book17 little comic shop of horrors,978-0590934831,140,1997,Scholastic Incorporated,Children’s Horror,English
R L Stine,1943-10-08,Give yourself goosebumps book18 attack of the beastly babysitter,9780439995184,152,1997,Scholastic ,Children’s Horror,English
R L Stine,1943-10-08,Give yourself goosebumps book19 escape from camp run for your life,9780439995191,144,1997,Scholastic ,Children’s Horror,English
R L Stine,1943-10-08,Give yourself goosebumps book20 toy terror batteries included,978-0590934923,140,1997,Scholastic India,Children’s Horror,English
R L Stine,1943-10-08,Give yourself goosebumps book21 the twisted tale of tiki island,978-0590935005,144,2010,Scholastic India,Children’s Horror,English
R L Stine,1943-10-08,Give yourself goosebumps book22 return to the carnival of horrors,978-0590210621,144,2015,Scholastic Paperbacks,Children’s Horror,English
R L Stine,1943-10-08,Give yourself goosebumps special edition03 trapped in the circus of fear,978-0590419208,144,1998,Scholastic Inc.,Children’s Horror,English
Robin Sharma,1964-06-16,Who will cry when you die ?,9780006385783,248,2006,Jaico Publishing House,Self-help book,English
Robin Sharma,1964-06-16,The monk who sold his ferrari,9780002008594,224,1999,HarperCollins Pulishers,Self-help book,English
Saisuthe,1942-08-20,Janani Janmabhoomi,‎ 978-9383053513,156,2012,Sudha Enterprises,Drama,Kannada
Saisuthe,1942-08-20,kadala mutthu,978-9383053483,210,2012,Vasantha Prakashana,Drama,Kannada
Steve Berry,1955-09-02,The templar legacy,9780345476166,528,2007,Penguin Random House,Fiction,English
Udayasankar Krishna,,Govinda,978-0143448112,320,2019,PenguineBury Press,Spiritual Fiction,English
Udayasankar Krishna,,Kaurava,9780143448129,400,2013,PenguineBury Press,Spiritual Fiction,English
Udayasankar Krishna,,Kurukshethra,978-9350099957,456,2015,Hachette India,Spiritual Fiction,English
William Arden,1924-01-15,Crime Busters 01 - Hot Wheels,978-0394999593,144,1989,Random House Books for Young readers,Children’s Mysteries,English
Megan & H. William Stine,1946-11-27,Crime Busters 02 - Murder To Go,‎ 978-0006938330,144,1990,HarperCollins Pulishers,Children’s Mysteries,English
G.H. Stone,,Crime Busters 03 - Rough Stuff,978-0006939337,144,1990,HarperCollins Pulishers,Children’s Mysteries,English
William McCay,,Crime Busters 04 - Funny Business,978-0006939344,144,1990,HarperCollins Pulishers,Children’s Mysteries,English
Marc Brandel,1919-03-28,Crime Busters 05 - An Ear For Danger,‎ 978-0394899435,144,1989,Random House Books for Young readers,Children’s Mysteries,English
Megan & H. William Stine,1946-11-27,Crime Busters 06 - Thriller Diller,978-0394929361,144,1989,Random House Books for Young readers,Children’s Mysteries,English
G.H. Stone,,Crime Busters 07 - Reel Trouble,‎ 978-0394843506,144,1989,Random House Books for Young readers,Children’s Mysteries,English
William McCay,,Crime Busters 08 - Shoot the Works,978-0679801573,134,1990,Random House Books for Young readers,Children’s Mysteries,English
Peter Lerangis,1955-08-19,Crime Busters 09 - Foul Play,‎ 978-0679800903,139,1990,Random House Books for Young readers,Children’s Mysteries,English
Megan & H. William Stine,1946-11-27,Crime Busters 10 - Long Shot,978-0006939474,144,1991,HarperCollins Pulishers,Children’s Mysteries,English
G.H. Stone,,Crime Busters 11 - Fatal Error,978-0679905875,140,1990,Random House Books for Young readers,Children’s Mysteries,English
Robert Arthur,1909-11-10,The Three Investigators 01 - The Secret of Terror Castle,978-0679811763,192,1991,Random House Books for Young readers,Children’s Mysteries,English
Robert Arthur,1909-11-10,The Three Investigators 02 - The Mystery of the Stuttering Parrot,978-0679811718,192,1991,Random House Books for Young readers,Children’s Mysteries,English
Robert Arthur,1909-11-10,The Three Investigators 03 - The Mystery of the Whispering Mummy,978-0394864037,192,1985,Random House Books for Young readers,Children’s Mysteries,English
Robert Arthur,1909-11-10,The Three Investigators 04 - The Mystery of the Green Ghost,978-0394864044,160,1985,Random House Books for Young readers,Children’s Mysteries,English
Robert Arthur,1909-11-10,The Three Investigators 05 - The Mystery of the Vanishing Treasure,‎ 978-0394864051,160,1985,Random House Books for Young readers,Children’s Mysteries,English
Robert Arthur,1909-11-10,The Three Investigators 06 - The Secret of Skeleton Island,978-0394864068,160,1985,Random House Books for Young readers,Children’s Mysteries,English
Robert Arthur,1909-11-10,The Three Investigators 07 - The Mystery of the Fiery Eye,978-0394864075,176,1984,Random House Books for Young readers,Children’s Mysteries,English
Robert Arthur,1909-11-10,The Three Investigators 08 - The Mystery of the Silver Spider,978-0394864082,176,1985,Random House Books for Young readers,Children’s Mysteries,English
Robert Arthur,1909-11-10,The Three Investigators 09 - The Mystery of the Screaming Clock,978-0679821731,192,1991,Random House Books for Young readers,Children’s Mysteries,English
William Arden,1924-01-15,The Three Investigators 10 - The Mystery of the Moaning Cave,978-8189632007,168,1992,Random House Books for Young readers,Children’s Mysteries,English
Robert Arthur,1909-11-10,The Three Investigators 11 - The Mystery of the Talking Skull,‎ 978-0679832607,176,2000,Random House Books for Young readers,Children’s Mysteries,English
William Arden,1924-01-15,The Three Investigators 12 - The Mystery of the Laughing Shadow,‎ 978-0394814926,158,1969,Random House Books for Young readers,Children’s Mysteries,English
William Arden,1924-01-15,The Three Investigators 13 - The Secret of the Crooked Cat,978-0394864136,168,1985,Random House Books for Young readers,Children’s Mysteries,English
Nick West,1989-01-26,The Three Investigators 14 - The Mystery of the Coughing Dragon,9780006919254,202,1970,Scholastic ,Children’s Mysteries,English
M. V. Carey,1925-05-19,The Three Investigators 15 - The Mystery of the Flaming Footprints,978-0006921042,160,1982,HarperCollins Pulishers,Children’s Mysteries,English
M. V. Carey,1925-05-19,The Three Investigators 17 - The Mystery of the Singing Serpent,978-0394824086,183,1972,Random House Children’s Books,Children’s Mysteries,English
William Arden,1924-01-15,The Three Investigators 18 - The Mystery Of The Shrinking House,9780394824826,165,1985,Random House Children’s Books,Children’s Mysteries,English
William Arden,1924-01-15,The Three Investigators 19 - The Secret of Phantom Lake,978-0394864198,141,1984,Random House Books for Young readers,Children’s Mysteries,English
M. V. Carey,1925-05-19,The Three Investigators 20 - The Mystery of Monster Mountain,‎ 978-0394842592,142,1979,Random House Books for Young readers,Children’s Mysteries,English
M. V. Carey,1925-05-19,The Three Investigators 21 - The Secret of the Haunted Mirror,‎ 978-0394828206,152,1974,Random House Books for Young readers,Children’s Mysteries,English
William Arden,1924-01-15,The Three Investigators 22 - The Mystery of the Dead Man's Riddle,9780394844510,163,1980,Random House Books for Young readers,Children’s Mysteries,English
M. V. Carey,1925-05-19,The Three Investigators 23 - The Mystery of the Invisible Dog,978-0394864235,148,1984,Random House Books for Young readers,Children’s Mysteries,English
M. V. Carey,1925-05-19,The Three Investigators 24 - The Mystery of the Death Trap Mine,978-0394864242,151,1985,Random House Books for Young readers,Children’s Mysteries,English
William Arden,1924-01-15,The Three Investigators 25 - The Mystery of the Dancing Devil,978-0394864259,134,1984,Random House Books for Young readers,Children’s Mysteries,English
William Arden,1924-01-15,The Three Investigators 26 - The Mystery of the Headless Horse,978-0394848617,144,1981,Random House Books for Young readers,Children’s Mysteries,English
M. V. Carey,1925-05-19,The Three Investigators 27 - The Mystery of the Magic Circle,‎ 978-0394864273,143,1985,Random House Books for Young readers,Children’s Mysteries,English
William Arden,1924-01-15,The Three Investigators 28 - The Mystery of the Deadly Double,978-0394839028,147,1978,Random House Books for Young readers,Children’s Mysteries,English
M. V. Carey,1925-05-19,The Three Investigators 29 - The Mystery of the Sinister Scarecrow,978-0394864297,151,1985,Random House Books for Young readers,Children’s Mysteries,English
Marc Brandel,1919-03-28,The Three Investigators 30 - The Secret of the Shark Reef,978-0394842493,181,1979,Random House Books for Young readers,Children’s Mysteries,English
M. V. Carey,1925-05-19,The Three Investigators 31 - The Mystery of the Scar-faced Beggar,‎ 978-0394849034,181,1981,Random House Books for Young readers,Children’s Mysteries,English
M. V. Carey,1925-05-19,The Three Investigators 32 - The Mystery of the Blazing Cliffs,978-0394845043,180,1981,Random House Books for Young readers,Children’s Mysteries,English
William Arden,1924-01-15,The Three Investigators 33 - The Mystery of the Purple Pirate,‎ 978-0006924555,160,1985,Random House Books for Young readers,Children’s Mysteries,English
M. V. Carey,1925-05-19,The Three Investigators 34 - The Mystery of Wandering Caveman,978-0006925095,160,1985,Random House Books for Young readers,Children’s Mysteries,English
Marc Brandel,1919-03-28,The Three Investigators 35 - The Mystery of the Kidnapped Whale,“0394858417”,192,1983,Random House Books for Young readers,Children’s Mysteries,English
M.V. Carey,1925-05-19,The Three Investigators 36 - The Mystery of the Missing Mermaid,‎ 978-0394858753,181,1983,Random House Books for Young readers,Children’s Mysteries,English
Marc Brandel,1919-03-28,The Three Investigators 37 - The Mystery of the Two-Toed Pigeon,978-0394867809,160,1984,Random House Books for Young readers,Children’s Mysteries,English
William Arden,1924-01-15,The Three Investigators 38 - The Mystery of the Smashing Glass,978-0394865508,165,1984,Random House Books for Young readers,Children’s Mysteries,English
M.V. Carey,1925-05-19,The Three Investigators 39 - The Mystery of the Trail of Terror,978-0679821724,192,1991,Random House Books for Young readers,Children’s Mysteries,English
Marc Brandel,1919-03-28,The Three Investigators 40 - The Mystery of the Rogues' Reunion,978-0394969206,176,1985,Random House Books for Young readers,Children’s Mysteries,English
M.V. Carey,1925-05-19,The Three Investigators 41 - The Mystery of the Creep-Show Crooks,‎ 978-0394873824 ,177,1985,Random House Books for Young readers,Children’s Mysteries,English
William arden,1924-01-15,The Three Investigators 42 - The Mystery of Wreckers' Rock,978-0394873756,184,1986,Random House Books for Young readers,Children’s Mysteries,English
M.V. Carey,1925-05-19,The Three Investigators 43 - The Mystery of the Cranky Collector,‎ 978-0394891538,182,1987,Random House Books for Young readers,Children’s Mysteries,English
Alex Irvine,1969-03-22,The Adventures of Tintin,‎ 978-1405278454,1440,2015,Egmont,Children’s Mysteries,English
dan brown,1964-06-22,digital fortress,978-0312944926,544,2008,St. Martin’s Paperbacks,science fiction,English
